feature,region,channel,feature_class,metric,stat,mean_importance,std_importance,ci_lo,ci_hi,cv,rank,median_rank,rank_q025,rank_q975,top20_pct,top50_pct,spearman_rho,spearman_p_value,direction
immune_E_original_firstorder_Entropy_mean,immune,E,firstorder,Entropy,mean,0.001012,0.000367,0.000989,0.001034,0.363,441,405.0,142.9,460.0,0.0,0.0,0.0803,0.227287,higher feature -> higher survival_target
immune_E_original_firstorder_TotalEnergy_mean,immune,E,firstorder,TotalEnergy,mean,0.00101,0.00038,0.000987,0.001034,0.376,442,405.0,162.0,459.0,0.0,0.3,0.0661,0.320606,higher feature -> higher survival_target
adipose_E_original_firstorder_Median_mean,adipose,E,firstorder,Median,mean,0.001,0.000353,0.000978,0.001022,0.353,443,407.5,169.9,459.0,0.0,0.2,0.0538,0.418479,higher feature -> higher survival_target
muscularis_E_original_firstorder_Median_mean,muscularis,E,firstorder,Median,mean,0.000997,0.000316,0.000978,0.001017,0.317,444,401.0,175.9,460.0,0.0,0.0,-0.0314,0.637526,higher feature -> lower survival_target
muscularis_E_original_firstorder_RootMeanSquared_mean,muscularis,E,firstorder,RootMeanSquared,mean,0.000995,0.000309,0.000976,0.001014,0.31,445,402.0,181.0,460.0,0.0,0.0,-0.0517,0.436898,higher feature -> lower survival_target
vessels_E_original_firstorder_RootMeanSquared_mean,vessels,E,firstorder,RootMeanSquared,mean,0.000986,0.000335,0.000965,0.001006,0.339,446,409.0,175.9,460.0,0.0,0.0,0.0253,0.704333,higher feature -> higher survival_target
vessels_E_original_firstorder_Uniformity_mean,vessels,E,firstorder,Uniformity,mean,0.000974,0.000292,0.000956,0.000993,0.299,447,410.0,191.9,459.0,0.0,0.0,-0.0398,0.549861,higher feature -> lower survival_target
adipose_E_original_firstorder_90Percentile_mean,adipose,E,firstorder,90Percentile,mean,0.000958,0.000322,0.000938,0.000978,0.336,448,416.0,184.9,460.0,0.0,0.1,-0.0623,0.349397,higher feature -> lower survival_target
adipose_E_original_firstorder_Skewness_mean,adipose,E,firstorder,Skewness,mean,0.000947,0.000264,0.000931,0.000963,0.279,449,412.0,210.0,459.0,0.0,0.0,-0.0117,0.860323,higher feature -> lower survival_target
immune_E_original_firstorder_RootMeanSquared_mean,immune,E,firstorder,RootMeanSquared,mean,0.000935,0.00032,0.000915,0.000954,0.343,450,419.0,186.9,461.0,0.0,0.2,0.0715,0.28206,higher feature -> higher survival_target
vessels_E_original_firstorder_90Percentile_mean,vessels,E,firstorder,90Percentile,mean,0.000931,0.000289,0.000913,0.000949,0.311,451,418.5,201.9,461.0,0.0,0.0,0.0224,0.736442,higher feature -> higher survival_target
vessels_E_original_firstorder_Entropy_mean,vessels,E,firstorder,Entropy,mean,0.00092,0.000259,0.000904,0.000936,0.282,452,420.0,201.9,460.0,0.0,0.0,0.0316,0.635317,higher feature -> higher survival_target
immune_E_original_firstorder_90Percentile_mean,immune,E,firstorder,90Percentile,mean,0.000902,0.000284,0.000884,0.000919,0.315,453,428.0,222.0,461.0,0.0,0.1,0.0649,0.329326,higher feature -> higher survival_target
adipose_E_original_firstorder_Uniformity_mean,adipose,E,firstorder,Uniformity,mean,0.000897,0.00031,0.000878,0.000916,0.346,454,428.0,208.0,460.0,0.0,0.1,-0.0198,0.766006,higher feature -> lower survival_target
lamina_E_original_firstorder_Skewness_std,lamina,E,firstorder,Skewness,std,0.000879,0.00023,0.000864,0.000893,0.262,455,427.0,255.0,460.0,0.0,0.0,-0.0772,0.24565,higher feature -> lower survival_target
adipose_E_original_firstorder_Energy_mean,adipose,E,firstorder,Energy,mean,0.000873,0.000303,0.000854,0.000891,0.347,456,432.0,217.0,462.0,0.0,0.0,-0.0314,0.636782,higher feature -> lower survival_target
