slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Lamina propria (fibrovascular stroma),6109,5442
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Muscularis propria (detrusor muscle),6615,5811
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Necrosis,335,305
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Normal urothelium (benign mucosa),3221,2797
TCGA-4Z-AA7R-01Z-00-DX1.8FBDAFEB-265F-4594-9069-E34BAB417FC4_tiles.jsonl,TCGA-4Z-AA7R,Perivesical adipose tissue (extravesical fat),2331,2198
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Blood vessels (vasculature),9486,8837
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Inflammatory infiltrates (immune cells),239,174
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Invasive urothelial carcinoma (tumor),6084,5891
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Lamina propria (fibrovascular stroma),8226,7352
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Muscularis propria (detrusor muscle),9975,8889
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Necrosis,58,51
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Normal urothelium (benign mucosa),3410,2968
TCGA-4Z-AA7S-01Z-00-DX1.35242781-51FD-4883-A347-6EADC40E39C2_tiles.jsonl,TCGA-4Z-AA7S,Perivesical adipose tissue (extravesical fat),8602,8125
TCGA-4Z-AA7W-01Z-00-DX1.9BE6DF4E-480F-483E-8299-D949B5C09B4B_tiles.jsonl,TCGA-4Z-AA7W,Blood vessels (vasculature),8834,8109
