feature,region,perm_mean,perm_std,impurity_mean
immune_E_original_firstorder_Energy_std,immune,0.00016573725436622722,0.0003282553637466313,0.001429
adipose_E_original_firstorder_10Percentile_std,adipose,0.0001650918681498137,0.00020309457520086127,0.001388
muscularis_E_original_firstorder_Skewness_std,muscularis,0.00016268739769264017,0.0014702364399227813,0.00163
necrosis_H_original_firstorder_MeanAbsoluteDeviation_mean,necrosis,0.00016102201136559692,0.0004952435046212357,0.001759
lamina_H_original_firstorder_Median_std,lamina,0.00016087387258305607,0.0003902708490218252,0.001172
immune_H_original_firstorder_Mean_mean,immune,0.00015893277910031812,0.0005370107680965525,0.005316
immune_H_original_firstorder_Variance_std,immune,0.00015720247315725855,0.0006205213595574563,0.001942
necrosis_E_original_firstorder_Energy_std,necrosis,0.00015585986836635923,0.00030078289951272416,0.001657
lamina_E_original_firstorder_Entropy_mean,lamina,0.00015407900091300996,7.889424382471775e-05,0.00151
muscularis_H_original_firstorder_RootMeanSquared_mean,muscularis,0.00014464976790741214,0.0002716104353108381,0.002783
adipose_E_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,0.00014247352430203365,0.0001879864783895521,0.001379
vessels_H_original_firstorder_10Percentile_std,vessels,0.00014244936946948837,0.00022347540247184204,0.002252
lamina_H_original_firstorder_RootMeanSquared_mean,lamina,0.00014073906036082828,0.00030871450767317924,0.002534
immune_E_original_firstorder_Variance_std,immune,0.00014071869084392175,0.00041714630264586255,0.001547
muscularis_H_original_firstorder_InterquartileRange_std,muscularis,0.00014003519755273475,0.000406919988330015,0.001845
urothelium_H_original_firstorder_Variance_mean,urothelium,0.00013915919541183098,0.00023878924110552985,0.00215
immune_H_original_firstorder_TotalEnergy_mean,immune,0.0001338658250342295,0.00035971088963863415,0.004177
urothelium_E_original_firstorder_Energy_std,urothelium,0.00013364101905622984,0.00017028040465011694,0.001375
lamina_E_original_firstorder_TotalEnergy_mean,lamina,0.00013172661102844874,0.00034932524529986657,0.001276
urothelium_H_original_firstorder_MeanAbsoluteDeviation_std,urothelium,0.00012791467124544375,0.0001572847468310229,0.002654
tumor_E_original_firstorder_Uniformity_mean,tumor,0.00012782434793723318,0.00022809896006289963,0.001711
tumor_H_original_firstorder_Energy_mean,tumor,0.00012520893763151575,0.00014149512226420503,0.002083
vessels_E_original_firstorder_TotalEnergy_std,vessels,0.00012027165226911052,0.0001904868418750754,0.001356
adipose_H_original_firstorder_RobustMeanAbsoluteDeviation_std,adipose,0.00011787223396141356,0.0001999825366430892,0.001947
adipose_E_original_firstorder_Variance_mean,adipose,0.00011725297864586536,0.00014536303768670133,0.001062
tumor_E_original_firstorder_TotalEnergy_mean,tumor,0.00011585250556332971,0.0001631355147133113,0.002019
adipose_E_original_firstorder_Variance_std,adipose,0.00011548192233200583,0.0001943786942621119,0.001182
lamina_E_original_firstorder_Variance_mean,lamina,0.00011445171163895206,0.00022241510232268988,0.001161
lamina_E_original_firstorder_90Percentile_mean,lamina,0.000113203384610705,0.0002128402331186953,0.001398
immune_E_original_firstorder_Mean_mean,immune,0.00011098901090732527,0.00022345383449980086,0.001073
lamina_H_original_firstorder_RootMeanSquared_std,lamina,0.00011057681368549232,0.0004865033978814179,0.001454
lamina_E_original_firstorder_MeanAbsoluteDeviation_mean,lamina,0.00010984035705279283,0.0001375395332158281,0.001253
adipose_H_original_firstorder_Variance_std,adipose,0.0001060169450082027,0.00024689159411723073,0.001805
urothelium_H_original_firstorder_Uniformity_mean,urothelium,0.00010567274323479703,0.00024225747186577113,0.001652
tumor_E_original_firstorder_Entropy_mean,tumor,0.00010319782014951428,0.00015639325248030384,0.001727
adipose_E_original_firstorder_Energy_mean,adipose,0.00010081331366803558,7.373377294881776e-05,0.000849
necrosis_H_original_firstorder_TotalEnergy_std,necrosis,0.00010052157979193455,0.0004735630976051939,0.002554
lamina_E_original_firstorder_TotalEnergy_std,lamina,0.00010036610076075148,0.00011532472566734827,0.001372
muscularis_H_original_firstorder_90Percentile_mean,muscularis,9.905894997361831e-05,0.0002287188453040603,0.002087
urothelium_E_original_firstorder_10Percentile_mean,urothelium,9.566536034661954e-05,0.0002368207826153271,0.001577
immune_H_original_firstorder_Mean_std,immune,9.555165416758049e-05,0.0005195565402962102,0.001748
adipose_H_original_firstorder_RootMeanSquared_mean,adipose,9.448441781980676e-05,0.0002695684417999789,0.004987
immune_E_original_firstorder_Variance_mean,immune,9.326402402475287e-05,0.0005218944122167567,0.001156
vessels_E_original_firstorder_MeanAbsoluteDeviation_mean,vessels,9.105902786226139e-05,0.00014794087647200792,0.000994
necrosis_E_original_firstorder_Mean_mean,necrosis,8.974993528858555e-05,0.00022588186952930773,0.001961
tumor_H_original_firstorder_Mean_std,tumor,8.85249676743416e-05,0.0001740517023941197,0.001563
vessels_H_original_firstorder_Variance_mean,vessels,8.773432635383882e-05,0.00030984661726155276,0.001166
necrosis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,necrosis,8.628681514259995e-05,0.0004677930352758061,0.002251
immune_E_original_firstorder_Skewness_mean,immune,8.525190192261167e-05,0.00019682025896309966,0.001283
vessels_E_original_firstorder_Maximum_std,vessels,8.37170353018557e-05,0.00013151556429391456,0.000331
necrosis_E_original_firstorder_10Percentile_std,necrosis,8.163561147122023e-05,0.0003655467567715512,0.002107
lamina_H_original_firstorder_Energy_mean,lamina,7.888129197778371e-05,0.00017579734689581968,0.001799
adipose_H_original_firstorder_90Percentile_std,adipose,7.699878517321012e-05,0.0001255483199653038,0.001539
tumor_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,tumor,7.188845302762426e-05,9.689718664997852e-05,0.001685
necrosis_H_original_firstorder_Energy_mean,necrosis,7.12238064201176e-05,0.00012212588402154247,0.001886
necrosis_E_original_firstorder_Entropy_mean,necrosis,6.90579756085663e-05,0.00021747986428971908,0.002078
lamina_E_original_firstorder_RootMeanSquared_mean,lamina,6.571974162449257e-05,0.00012387986681504926,0.001386
muscularis_H_original_firstorder_RootMeanSquared_std,muscularis,6.407494515233702e-05,0.0007137310405821709,0.001606
vessels_H_original_firstorder_InterquartileRange_std,vessels,5.5938064742477864e-05,0.00011618606411503491,0.00132
immune_E_original_firstorder_RobustMeanAbsoluteDeviation_std,immune,5.51437119908238e-05,0.0002091875143214992,0.001325
urothelium_E_original_firstorder_Kurtosis_std,urothelium,5.338431406324284e-05,0.00043677551119604836,0.002081
vessels_E_original_firstorder_10Percentile_std,vessels,5.3384021901203835e-05,0.0002218387251549199,0.001473
tumor_E_original_firstorder_TotalEnergy_std,tumor,5.314448627337098e-05,0.0004829342202838891,0.001219
immune_E_original_firstorder_10Percentile_mean,immune,5.2366996968267185e-05,0.00040392377861698815,0.001625
immune_E_original_firstorder_Entropy_std,immune,5.1014243510094647e-05,0.00043156008344649266,0.001669
adipose_E_original_firstorder_InterquartileRange_std,adipose,4.985375111704604e-05,0.00032581359982513655,0.001401
urothelium_H_original_firstorder_90Percentile_std,urothelium,4.902174319941777e-05,0.00028237560456302553,0.00372
tumor_E_original_firstorder_10Percentile_mean,tumor,4.883546314036202e-05,0.0004444092908010012,0.001815
vessels_H_original_firstorder_TotalEnergy_std,vessels,4.803008439333567e-05,0.00046532576819721417,0.001828
immune_E_original_firstorder_Kurtosis_mean,immune,4.789742874325986e-05,0.0003117120369088864,0.00124
immune_H_original_firstorder_Energy_mean,immune,4.7706749165488116e-05,0.0004233572376128782,0.004175
tumor_E_original_firstorder_Variance_std,tumor,4.666396485071278e-05,0.00045484092416934546,0.001712
lamina_H_original_firstorder_Mean_std,lamina,4.534936259261713e-05,0.00039353223739360714,0.001245
adipose_H_original_firstorder_RootMeanSquared_std,adipose,4.098231412951181e-05,0.0005963800104675683,0.001584
adipose_E_original_firstorder_Skewness_std,adipose,3.8559537532389945e-05,0.00022802019578424274,0.001532
adipose_E_original_firstorder_Entropy_mean,adipose,3.4637050140884365e-05,7.204367895284292e-05,0.001096
tumor_E_original_firstorder_90Percentile_mean,tumor,3.318477777541906e-05,0.000144962114479642,0.001522
vessels_E_original_firstorder_Range_mean,vessels,3.2880078977914896e-05,6.52144898303105e-05,0.000337
urothelium_H_original_firstorder_RobustMeanAbsoluteDeviation_std,urothelium,3.2483833784424655e-05,0.00022722665197192566,0.002635
