feature,region,perm_mean,perm_std,impurity_mean
tdlu_E_original_firstorder_Skewness_std,tdlu,0.0002139254744669472,0.00024034770075943558,0.001117
muscle_H_original_firstorder_Uniformity_mean,muscle,0.0002117719448485933,8.430509740795922e-05,0.001344
tdlu_H_original_firstorder_TotalEnergy_std,tdlu,0.00021002968482820573,0.0001699703083353609,0.001648
stroma_H_original_firstorder_Energy_mean,stroma,0.00020416292936167312,0.00011764632310495865,0.001604
tumor_E_original_firstorder_Range_std,tumor,0.00019608839962272916,8.612112023253635e-05,0.001323
stroma_H_original_firstorder_Median_std,stroma,0.0001953160144550048,0.00046445589623297294,0.002697
muscle_E_original_firstorder_90Percentile_mean,muscle,0.0001950640946100757,0.00012198426604047523,0.001401
tils_E_original_firstorder_Skewness_std,tils,0.00018937285328137765,0.00014365580230745446,0.001334
stroma_H_original_firstorder_Mean_std,stroma,0.00018821912850914836,0.0004012991268458939,0.003499
dcis_E_original_firstorder_Variance_mean,dcis,0.00018808100175492503,0.00047136221070729554,0.001952
muscle_H_original_firstorder_90Percentile_mean,muscle,0.0001869452642366487,0.0001400743745755806,0.001146
vessels_H_original_firstorder_Entropy_std,vessels,0.00018626422917085162,0.00034018445983398024,0.00135
stroma_E_original_firstorder_Kurtosis_mean,stroma,0.0001846212832557925,0.00022642931560013267,0.001665
muscle_H_original_firstorder_Skewness_std,muscle,0.00018121997839221082,0.00033414582777252543,0.001604
muscle_E_original_firstorder_Kurtosis_std,muscle,0.00017960175765677767,0.00020049780920097305,0.001523
stroma_H_original_firstorder_MeanAbsoluteDeviation_mean,stroma,0.00017891253070819734,0.0006920551625864718,0.001529
tdlu_E_original_firstorder_10Percentile_mean,tdlu,0.00016778155787448013,0.00032711003858340625,0.00137
stroma_E_original_firstorder_90Percentile_mean,stroma,0.00016536604178073454,0.00032529956101315594,0.001528
tumor_E_original_firstorder_MeanAbsoluteDeviation_mean,tumor,0.00016221673415947046,0.00019257729918485564,0.001
tumor_H_original_firstorder_MeanAbsoluteDeviation_mean,tumor,0.0001613183322176748,0.0005001145586096801,0.001996
tdlu_H_original_firstorder_Mean_std,tdlu,0.00015893941499761643,0.00023000739220147383,0.001894
muscle_H_original_firstorder_RootMeanSquared_mean,muscle,0.00015529455712872675,0.00011470759709749849,0.001078
stroma_E_original_firstorder_RootMeanSquared_mean,stroma,0.0001496811734519543,0.0004903417258159322,0.00126
tdlu_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,tdlu,0.00014534040288716188,0.00013136990462851418,0.001458
muscle_H_original_firstorder_TotalEnergy_mean,muscle,0.00014018737869658793,0.00012862144203356122,0.00116
muscle_H_original_firstorder_Mean_std,muscle,0.00013783721092732736,0.00011124281236629391,0.001211
tdlu_H_original_firstorder_Entropy_mean,tdlu,0.00013637880912089617,0.00011309326097954384,0.001215
tils_H_original_firstorder_TotalEnergy_mean,tils,0.00013155662706109127,0.00019273123227711857,0.001355
muscle_H_original_firstorder_Kurtosis_mean,muscle,0.000130657926476907,0.0002468962176584282,0.001491
dcis_E_original_firstorder_Range_std,dcis,0.00012939114335556168,0.0001546205211263435,0.000979
tumor_H_original_firstorder_Mean_mean,tumor,0.0001286124629645613,0.00011436326745993723,0.001092
dcis_H_original_firstorder_TotalEnergy_std,dcis,0.00012857099621570444,0.00011389452640133955,0.001818
tumor_E_original_firstorder_Range_mean,tumor,0.0001278331924693732,4.3212094908639865e-05,0.001317
tumor_H_original_firstorder_MeanAbsoluteDeviation_std,tumor,0.00012450749088662726,0.00023805310572284688,0.002376
adipose_H_original_firstorder_Variance_mean,adipose,0.00012200886499991181,0.00026564864923552683,0.001889
tumor_E_original_firstorder_Mean_std,tumor,0.00012043323810544404,0.0003054533359539298,0.00153
muscle_E_original_firstorder_InterquartileRange_mean,muscle,0.00011984403370324248,0.00013418715334358777,0.001469
vessels_H_original_firstorder_Energy_mean,vessels,0.00011948975736413292,7.484155615122461e-05,0.001027
tdlu_H_original_firstorder_Variance_std,tdlu,0.00011814164961851948,0.00022610362011786357,0.002553
muscle_E_original_firstorder_TotalEnergy_mean,muscle,0.00011788332912013866,0.00013161361821824666,0.001267
stroma_E_original_firstorder_Energy_mean,stroma,0.00011767940007706423,0.0002099941104446013,0.001336
tumor_E_original_firstorder_Entropy_std,tumor,0.00011548809275555572,0.0003347963727725899,0.001549
vessels_E_original_firstorder_Kurtosis_mean,vessels,0.00011465069220497614,9.896044422409677e-05,0.001419
muscle_H_original_firstorder_RootMeanSquared_std,muscle,0.00011359560378519929,0.00013155739413477343,0.001239
tumor_E_original_firstorder_TotalEnergy_mean,tumor,0.00011239845569434026,0.00020746465871464994,0.001501
muscle_E_original_firstorder_MeanAbsoluteDeviation_std,muscle,0.00010970036714489373,0.00011129072799689065,0.002608
vessels_E_original_firstorder_10Percentile_mean,vessels,0.00010768073077939144,0.000325123709811784,0.001331
tdlu_H_original_firstorder_Entropy_std,tdlu,0.00010736507615826119,0.00014397098488719314,0.003983
vessels_E_original_firstorder_Variance_mean,vessels,0.00010655801961145794,0.0002519792265651848,0.001226
tumor_H_original_firstorder_Entropy_std,tumor,0.00010616418858437893,0.0002677444898183863,0.002967
muscle_H_original_firstorder_Entropy_std,muscle,0.00010176991168405757,0.0004359875329137409,0.001397
tils_H_original_firstorder_RootMeanSquared_mean,tils,0.00010155807629814717,0.00011511673186745261,0.001239
tdlu_E_original_firstorder_Uniformity_mean,tdlu,0.00010058958714819211,0.00013179741272119236,0.001155
stroma_H_original_firstorder_TotalEnergy_std,stroma,9.987822224755138e-05,0.0002892982048848011,0.003124
tils_H_original_firstorder_Skewness_mean,tils,9.942795093283995e-05,0.00021111294607110607,0.001946
tumor_E_original_firstorder_Maximum_std,tumor,9.322755881866485e-05,0.00011786236150858906,0.001324
muscle_E_original_firstorder_Energy_mean,muscle,9.174708042246627e-05,0.0001342924372798973,0.001267
vessels_H_original_firstorder_10Percentile_mean,vessels,8.664889906678797e-05,0.0002486169318626673,0.001506
adipose_H_original_firstorder_TotalEnergy_mean,adipose,8.658707709265911e-05,8.102495613134e-05,0.002366
vessels_E_original_firstorder_Skewness_std,vessels,8.408781222211115e-05,0.00014114865026576925,0.001399
muscle_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,muscle,8.387167655951044e-05,0.00014988845796589468,0.001233
dcis_E_original_firstorder_TotalEnergy_mean,dcis,7.690173255802124e-05,0.0002753117763264833,0.001912
muscle_E_original_firstorder_Mean_mean,muscle,7.591179923414071e-05,0.00020580692061430503,0.001328
vessels_H_original_firstorder_TotalEnergy_mean,vessels,7.106536351159098e-05,7.973102384885705e-05,0.00103
tils_E_original_firstorder_TotalEnergy_mean,tils,7.088083187268834e-05,0.000175693584624678,0.00197
muscle_E_original_firstorder_10Percentile_std,muscle,6.685451017498511e-05,0.00016959244616277368,0.001853
tils_H_original_firstorder_Median_mean,tils,6.499884133535084e-05,0.00010455700036128744,0.001311
tdlu_E_original_firstorder_Variance_std,tdlu,6.470216583210897e-05,0.0007095294311651561,0.001877
dcis_E_original_firstorder_Range_mean,dcis,6.463066223427738e-05,0.00012784629379881593,0.000979
tdlu_E_original_firstorder_Energy_std,tdlu,6.449783805477783e-05,8.997342329435869e-05,0.002237
tumor_H_original_firstorder_RobustMeanAbsoluteDeviation_std,tumor,6.387249924101334e-05,0.0003330769146588204,0.002469
