feature,region,coef,hr,p,q
tumor_H_original_firstorder_TotalEnergy_mean,tumor,0.15033816777314254,1.1622272040665929,0.04000034550690692,0.33953915405986246
muscularis_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,muscularis,0.15443321714222355,1.166996340104457,0.040326078276618486,0.33953915405986246
muscularis_H_original_glcm_ClusterTendency_mean,muscularis,0.14694045200813124,1.1582849874311831,0.040376167533358154,0.33953915405986246
muscularis_H_original_firstorder_10Percentile_mean,muscularis,0.14553829020649345,1.1566620225619728,0.0403802577071959,0.33953915405986246
muscularis_H_original_glcm_ClusterProminence_mean,muscularis,0.14369572114198392,1.1545327551646412,0.04054226418626056,0.33953915405986246
urothelium_H_original_firstorder_Median_std,urothelium,-0.16480758230976889,0.8480568695334736,0.04083349590584712,0.33953915405986246
tumor_H_original_firstorder_RootMeanSquared_mean,tumor,0.1564317500652821,1.1693309528343834,0.041297030001498335,0.33953915405986246
urothelium_H_original_firstorder_Mean_std,urothelium,-0.16474229179977132,0.8481122414066016,0.04182241750634121,0.33953915405986246
necrosis_E_original_glcm_DifferenceVariance_mean,necrosis,0.16322494107011992,1.1773014833613855,0.0424369208038417,0.33953915405986246
tumor_H_original_glcm_Autocorrelation_mean,tumor,0.14899076069199715,1.1606622654433878,0.04335851531173765,0.33953915405986246
muscularis_E_original_glcm_ClusterTendency_std,muscularis,-0.166633132555983,0.8465101113784234,0.043490684241136765,0.33953915405986246
tumor_H_original_glcm_SumSquares_mean,tumor,0.15228867855660738,1.16449635304132,0.04368411542672177,0.33953915405986246
urothelium_H_original_firstorder_RootMeanSquared_std,urothelium,-0.16435271059664347,0.8484427143628425,0.0437483700202053,0.33953915405986246
adipose_E_original_firstorder_Variance_std,adipose,-0.16818378761539277,0.8451984833954777,0.04375832553444372,0.33953915405986246
lamina_H_original_glcm_ClusterShade_mean,lamina,0.1451980189530329,1.1562685106799129,0.04424400987972986,0.33953915405986246
urothelium_H_original_glcm_Autocorrelation_std,urothelium,-0.1636498863625303,0.8490392300620434,0.04482141669879247,0.33953915405986246
lamina_H_original_glcm_DifferenceEntropy_mean,lamina,0.1553013798342088,1.1680099227022553,0.04534600613799593,0.33953915405986246
urothelium_H_original_firstorder_TotalEnergy_std,urothelium,-0.16341669170559195,0.8492372445610892,0.04539192065008908,0.33953915405986246
urothelium_H_original_firstorder_Energy_std,urothelium,-0.16341669170559195,0.8492372445610892,0.04539192065008908,0.33953915405986246
muscularis_H_original_glcm_ClusterShade_mean,muscularis,0.14210692056160906,1.1526998892679308,0.045484681037396384,0.33953915405986246
urothelium_H_original_glcm_SumAverage_std,urothelium,-0.16054033325995382,0.8516834717083316,0.046457770566409595,0.33997909756766614
urothelium_H_original_glcm_JointAverage_std,urothelium,-0.1605403332599538,0.8516834717083317,0.04645777056640962,0.33997909756766614
tumor_H_original_glcm_ClusterTendency_mean,tumor,0.1499280519552155,1.1617506540332128,0.04674213209802225,0.33997909756766614
lamina_H_original_glcm_ClusterProminence_mean,lamina,0.1414512411742012,1.1519443354382752,0.04714447702217136,0.33999957581243917
vessels_H_original_firstorder_RobustMeanAbsoluteDeviation_mean,vessels,0.15155201684622346,1.1636388290574744,0.047674822919971896,0.3409350781924041
adipose_E_original_glcm_SumSquares_std,adipose,-0.1640343728221626,0.8487128487230114,0.04945518097017066,0.3507196583801269
urothelium_E_original_glcm_JointEnergy_mean,urothelium,-0.164043601950066,0.8487050158797226,0.05120576353453675,0.35198012403371004
muscularis_H_original_firstorder_Kurtosis_mean,muscularis,-0.17828466643166074,0.8367042079831557,0.0522588365884658,0.35198012403371004
necrosis_H_original_glcm_SumSquares_mean,necrosis,0.14576056435230553,1.156919147200052,0.05286539555943464,0.35198012403371004
tumor_H_original_glcm_JointAverage_mean,tumor,0.14672633420257364,1.1580370045411876,0.053605821052905935,0.35198012403371004
tumor_H_original_glcm_SumAverage_mean,tumor,0.1467263342025735,1.1580370045411876,0.05360582105290623,0.35198012403371004
tumor_H_original_glcm_JointEntropy_std,tumor,-0.158919476041887,0.8530650483777461,0.053710366214765465,0.35198012403371004
muscularis_H_original_firstorder_10Percentile_std,muscularis,0.15443631851174977,1.1669999593969558,0.05400697702981099,0.35198012403371004
tumor_H_original_firstorder_Variance_mean,tumor,0.14567330675892756,1.1568182016237325,0.05451659751147283,0.35198012403371004
tumor_H_original_firstorder_Mean_mean,tumor,0.14764057405219716,1.1590962122292399,0.05495627483279668,0.35198012403371004
tumor_H_original_glcm_SumEntropy_std,tumor,-0.15922631639742818,0.8528033337493603,0.055016389883724565,0.35198012403371004
muscularis_H_original_firstorder_Variance_mean,muscularis,0.13784588669730272,1.1477986456027418,0.05503130364527944,0.35198012403371004
necrosis_H_original_glcm_ClusterTendency_mean,necrosis,0.14483890359093443,1.1558533514445084,0.05550077291472301,0.35198012403371004
adipose_E_original_firstorder_InterquartileRange_std,adipose,-0.15546538887987435,0.8560167041131868,0.05560602375247703,0.35198012403371004
lamina_E_original_firstorder_RobustMeanAbsoluteDeviation_std,lamina,-0.1508259280331598,0.859997387067194,0.05573681471433822,0.35198012403371004
vessels_H_original_firstorder_MeanAbsoluteDeviation_mean,vessels,0.14768228548128728,1.1591445607970416,0.05602235817103162,0.35198012403371004
urothelium_E_original_glcm_DifferenceEntropy_mean,urothelium,0.1569477981204442,1.1699345395249083,0.05655010838509595,0.35198012403371004
adipose_E_original_glcm_ClusterTendency_std,adipose,-0.1589959507545654,0.8529998129677369,0.05666425028509786,0.35198012403371004
vessels_H_original_glcm_ClusterProminence_mean,vessels,0.13867667736333059,1.148752622226555,0.057200903218701034,0.35273890318198975
necrosis_E_original_glcm_DifferenceEntropy_mean,necrosis,0.1592211757408125,1.1725972680713006,0.057954695484521875,0.3532760080670237
