feature,region,coef,hr,p,q
tdlu_E_original_glcm_JointEntropy_mean,tdlu,0.1919412305206976,1.2115993098119566,0.03427587149107515,0.30404361769963767
dcis_H_original_glcm_JointEntropy_std,dcis,-0.1844820095612593,0.8315348994425085,0.034684815730695,0.30404361769963767
stroma_E_original_firstorder_InterquartileRange_mean,stroma,0.16570408904644623,1.180223808893341,0.03505150887024814,0.30404361769963767
tils_E_original_glcm_DifferenceAverage_mean,tils,0.18332764495092366,1.201207913320117,0.03509566194259936,0.30404361769963767
tdlu_E_original_glcm_Imc1_mean,tdlu,-0.18508764482329984,0.831031445056042,0.035194707604324416,0.30404361769963767
stroma_E_original_glcm_Imc2_std,stroma,-0.1870352575948496,0.8294144927097298,0.03541817187025804,0.30404361769963767
stroma_E_original_firstorder_Skewness_mean,stroma,-0.24259744124009827,0.7845872926950881,0.03588251118786785,0.30404361769963767
tumor_E_original_firstorder_MeanAbsoluteDeviation_mean,tumor,0.16921879754857955,1.184379249852974,0.03599308279188701,0.30404361769963767
tils_H_original_firstorder_TotalEnergy_std,tils,-0.33273840393010684,0.7169577229488349,0.03613775570372836,0.30404361769963767
tils_H_original_firstorder_Energy_std,tils,-0.33273840393010684,0.7169577229488349,0.03613775570372836,0.30404361769963767
dcis_E_original_glcm_MaximumProbability_mean,dcis,-0.17929901113166086,0.8358559317992781,0.036669372688377395,0.30557810573647826
tils_H_original_glcm_SumSquares_std,tils,-0.27384211426367316,0.7604521303276794,0.03762747786225872,0.3061658009300335
stroma_E_original_glcm_ClusterTendency_mean,stroma,0.15888765836869959,1.172206251720904,0.0380347974469244,0.3061658009300335
stroma_E_original_glcm_DifferenceEntropy_std,stroma,-0.18066958468195718,0.834711114474677,0.038419124713007125,0.3061658009300335
tils_E_original_glcm_SumSquares_mean,tils,0.15051050083857548,1.1624275115027007,0.03872945613669684,0.3061658009300335
stroma_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,stroma,0.16311110318591587,1.1771674694795224,0.038745788532864166,0.3061658009300335
adipose_E_original_glcm_JointEntropy_mean,adipose,0.18996820979860188,1.209211155980039,0.03907670034838319,0.3061658009300335
tils_H_original_glcm_ClusterTendency_std,tils,-0.26981539380712083,0.7635204319276006,0.04003704734783338,0.3061658009300335
tumor_E_original_firstorder_TotalEnergy_mean,tumor,0.1511312153785539,1.1631492711409386,0.040115948965936794,0.3061658009300335
tumor_E_original_firstorder_Energy_mean,tumor,0.1511312153785539,1.1631492711409386,0.040115948965936794,0.3061658009300335
stroma_E_original_glcm_SumSquares_mean,stroma,0.1573785100099849,1.170438552775524,0.040298492534993506,0.3061658009300335
vessels_E_original_firstorder_Skewness_mean,vessels,-0.2800190209919267,0.7557693658360006,0.04062343018431868,0.3061658009300335
tils_E_original_glcm_ClusterTendency_mean,tils,0.14762025521299027,1.159072660978946,0.04093874138150162,0.3061658009300335
adipose_E_original_glcm_SumSquares_std,adipose,-0.1892228033182413,0.8276020936589277,0.04167916716799284,0.30709022555932897
tumor_E_original_firstorder_10Percentile_mean,tumor,0.1573088830735447,1.1703570615618275,0.04176427067606874,0.30709022555932897
stroma_E_original_firstorder_Kurtosis_mean,stroma,-0.2811046639639686,0.7549493153570598,0.04236627909308728,0.3089207850537614
adipose_E_original_glcm_SumEntropy_mean,adipose,0.18446927193177912,1.2025800277559864,0.04326380042998924,0.312858060960666
tdlu_E_original_firstorder_MeanAbsoluteDeviation_mean,tdlu,0.167948606593986,1.182875817068499,0.04414229619923938,0.31659433749454474
tils_E_original_firstorder_InterquartileRange_mean,tils,0.15296389892353582,1.1652829102159352,0.045594019443685525,0.3215418206831641
stroma_E_original_glcm_JointEntropy_std,stroma,-0.17170861800507978,0.8422245464866064,0.046186968764268595,0.3215418206831641
tils_H_original_firstorder_InterquartileRange_std,tils,-0.21539308766866394,0.8062244609873137,0.04719927127976827,0.3215418206831641
tils_E_original_firstorder_RobustMeanAbsoluteDeviation_mean,tils,0.15200643049512233,1.1641677225829041,0.047566521731108674,0.3215418206831641
adipose_H_original_firstorder_Skewness_std,adipose,-0.26538703006235675,0.7669090756625438,0.048261109006725214,0.3215418206831641
muscle_E_original_glcm_Correlation_mean,muscle,0.18770035534197202,1.2064719483071233,0.048393414778276564,0.3215418206831641
tils_E_original_firstorder_Skewness_mean,tils,-0.2653165537441576,0.7669631264952196,0.048427505589572706,0.3215418206831641
muscle_E_original_glcm_MCC_mean,muscle,0.1899969838298356,1.2092459503601942,0.04853940162064625,0.3215418206831641
