slide,case,compartment,n_tiles,n_tiles_top1_ge_0.50
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Fibrous desmoplastic stroma,3006,2546
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Invasive breast carcinoma (tumor cells),923,684
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Muscle tissue (smooth or skeletal muscle),11168,9777
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Necrosis or hemorrhage,6,3
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Normal breast glands and lobules (TDLU),45915,44259
TCGA-A1-A0SE-01Z-00-DX1.04B09232-C6C4-46EF-AA2C-41D078D0A80A_tiles.jsonl,TCGA-A1-A0SE,Tumor-infiltrating lymphocytes (immune infiltrates),318,219
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Adipose tissue (fat),6543,6184
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Blood vessels (vasculature),1079,971
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Ductal carcinoma in situ (DCIS),621,521
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Fibrous desmoplastic stroma,1950,1663
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Invasive breast carcinoma (tumor cells),1450,1297
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Muscle tissue (smooth or skeletal muscle),1635,1336
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Necrosis or hemorrhage,2,2
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Normal breast glands and lobules (TDLU),17905,17246
TCGA-A1-A0SF-01Z-00-DX1.7F252D89-EA78-419F-A969-1B7313D77499_tiles.jsonl,TCGA-A1-A0SF,Tumor-infiltrating lymphocytes (immune infiltrates),388,295
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Adipose tissue (fat),8642,7811
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Blood vessels (vasculature),1341,1202
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Ductal carcinoma in situ (DCIS),527,447
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Fibrous desmoplastic stroma,2959,2317
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Invasive breast carcinoma (tumor cells),2616,2168
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Muscle tissue (smooth or skeletal muscle),5367,4798
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Necrosis or hemorrhage,11,10
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Normal breast glands and lobules (TDLU),11288,10432
TCGA-A1-A0SH-01Z-00-DX1.90E71B08-E1D9-4FC2-85AC-062E56DDF17C_tiles.jsonl,TCGA-A1-A0SH,Tumor-infiltrating lymphocytes (immune infiltrates),81,62
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Adipose tissue (fat),9699,9065
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Blood vessels (vasculature),2160,1990
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Ductal carcinoma in situ (DCIS),681,622
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Fibrous desmoplastic stroma,3457,2901
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Invasive breast carcinoma (tumor cells),4417,3716
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Muscle tissue (smooth or skeletal muscle),10118,9361
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Necrosis or hemorrhage,102,99
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Normal breast glands and lobules (TDLU),7264,6351
TCGA-A1-A0SI-01Z-00-DX1.AB717348-F964-4F29-BBE2-972B7C640432_tiles.jsonl,TCGA-A1-A0SI,Tumor-infiltrating lymphocytes (immune infiltrates),2017,1602
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Adipose tissue (fat),4863,4412
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Blood vessels (vasculature),5214,4905
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Ductal carcinoma in situ (DCIS),1063,945
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Fibrous desmoplastic stroma,1525,1206
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Invasive breast carcinoma (tumor cells),1237,1014
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Muscle tissue (smooth or skeletal muscle),1998,1705
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Necrosis or hemorrhage,288,273
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Normal breast glands and lobules (TDLU),10384,9597
TCGA-A1-A0SJ-01Z-00-DX1.C196FA66-C376-4016-86BC-3D8E745B3A51_tiles.jsonl,TCGA-A1-A0SJ,Tumor-infiltrating lymphocytes (immune infiltrates),1032,841
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Adipose tissue (fat),10181,9061
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Blood vessels (vasculature),3075,2555
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Ductal carcinoma in situ (DCIS),2076,1688
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Fibrous desmoplastic stroma,3748,3208
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Invasive breast carcinoma (tumor cells),12415,10639
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Muscle tissue (smooth or skeletal muscle),9523,8208
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Necrosis or hemorrhage,10174,9773
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Normal breast glands and lobules (TDLU),12062,10291
TCGA-A1-A0SK-01Z-00-DX1.A44D70FA-4D96-43F4-9DD7-A61535786297_tiles.jsonl,TCGA-A1-A0SK,Tumor-infiltrating lymphocytes (immune infiltrates),5467,4153
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Adipose tissue (fat),3537,3233
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Blood vessels (vasculature),4021,3517
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Ductal carcinoma in situ (DCIS),883,736
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Fibrous desmoplastic stroma,2913,2526
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Invasive breast carcinoma (tumor cells),1328,1065
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Muscle tissue (smooth or skeletal muscle),5014,4396
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Necrosis or hemorrhage,6,4
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Normal breast glands and lobules (TDLU),18721,17678
TCGA-A1-A0SM-01Z-00-DX1.AD503DBD-4D93-4476-B467-F091254FDF78_tiles.jsonl,TCGA-A1-A0SM,Tumor-infiltrating lymphocytes (immune infiltrates),331,199
TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540_tiles.jsonl,TCGA-A1-A0SN,Adipose tissue (fat),9646,8893
TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540_tiles.jsonl,TCGA-A1-A0SN,Blood vessels (vasculature),3173,2944
TCGA-A1-A0SN-01Z-00-DX1.5E9B85AE-AFB7-41DC-8A1B-BD6DA39B6540_tiles.jsonl,TCGA-A1-A0SN,Ductal carcinoma in situ (DCIS),966,818
